System,Alignment,Aligned Cap,Total Cap,Percent Grouping,Percent,EMW Coverage,Systems with Same EMW Coverage,EMW Combo Count,Top 10 EMW Match,Top 10 EMW Combo #
GRAPHPAD,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
GREENWMT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
GRFP,Aligned,1,1,90-100%,100%,E3 | E4 | W6 | W8 ,9,4,,
GSVIEW,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
GWF,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
Gaussian,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
Ghost,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
GlobalCode,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
HAIMS,Aligned,13,14,90-100%,92%,E2 | E3 | E4 | W10 | W2 | W5 | W6 | W7 | W8 | W9 ,1,10,,
HAPSITE,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W8 ,19,4,,
HAYSTACK,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
HBSS,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
HC,Aligned,1,1,90-100%,100%,W7 | W9 ,3,2,,
HCAB,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W2 | W3 | W5 | W8 ,4,7,,
HCE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
HCIDEA,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
HDD,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HDM,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
HDSS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HEALTH.MIL,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HEALTHCONNECTION,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
HEARING AID FITTING,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
HEART START,Aligned,2,1,90-100%,100%,E3 | E4 | W4 | W5 | W6 | W8 ,8,6,,
HEAT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HEDIS,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
HEG,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
HEMATOLOGY ANALYZER,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
HEMATRAX,Aligned,1,1,90-100%,100%,E3 | E4 | W3 | W5 | W8 ,3,5,,
HERMES,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
HI,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W1 | W2 | W3 | W5 | W6 | W8 | W9 ,7,10,,
HI-PRO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
HIGHMAT EXTENSION,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HIOSC,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W2 | W3 | W5 | W8 ,4,7,,
HIPAA,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
HMIRS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
HMI PACS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
HMS,Aligned,6,6,90-100%,100%,E3 | E4 | M1 | W1 | W10 | W3 | W5 | W7 | W8 ,1,9,,
HOKANSON,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
HOLTER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
HOME-DEPT CLUSTER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HOMECAGE SCAN,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
HOSPIRA,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
HOTDOCS,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W1 | W2 | W3 | W5 | W6 | W8 | W9 ,7,10,,
HP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HPAS,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
HPV,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
HP OpenView,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
HRR,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
HSLC,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
HTB,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HTC G1 SMARTPHONE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HTEMGMC,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
HUMPHREY VF,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
HVAC,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
HVLT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
HVS Image,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
HYDRATION,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
HYPERBARIC,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Hearing Aid Fitting,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Hematology Analyzer,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
Hyperspectral,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
I-O PROCESSING,Aligned,1,1,90-100%,100%,E4 | M1 | W3 | W4 | W5 | W6 ,3,6,,
IA-BD,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
IA-CA,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
IA-CQT,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
IA-CR,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
IA-CandA,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
IA-PKE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
IA-SITA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
IA-SWA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
IACTE,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
IARS,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
IATS,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
ICD-10,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
ICODES,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W4 | W9 ,2,5,,
ICPCCS,Aligned,9,10,80-90%,90%,E3 | E4 | W10 | W2 | W3 | W5 | W6 | W8 ,1,8,,
ID,Aligned,1,1,90-100%,100%,E3 | W3 | W5 | W6 | W8 ,12,5,,
IDP,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
IEF CELL,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
IEHR INC 1,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
IGT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
IISAS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ILER,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
IM-IT SALARIES,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
IMDII,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
IMED,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IMITS-TR,Aligned,3,4,70-80%,75%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IMMUNOASSAY ANALYZER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IMMUNOASSAY SYSTEM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IMPACT,Aligned,1,1,90-100%,100%,E3 | W6 | W7 ,5,3,,
IMPAX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IMPLANT TRACKER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IMPLANT VIEW,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
IMPRESS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
INACTIVE MEDICAL RECORDS,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
INFADS,Aligned,1,1,90-100%,100%,M1 | W3 | W8 ,1,3,,
INFINITY,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
INFORMATICA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
INFORMATICS,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
INFORMIX CONNECT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
INFRAGISTICS,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
INFRARED CAMERA,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
INGENIX,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
INGRES,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
INSIGHT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
INSTALLSHIELD,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
INTAGLIO,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
INTELLICAB,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
INTELLIDOSE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
INTELLIMOTION,Aligned,1,1,90-100%,100%,E3 | E4 | M1 | W10 ,4,4,,
INTEPRETERS,Aligned,1,1,90-100%,100%,E2 | W5 | W6 ,1,3,,
INTERQUAL,Aligned,1,1,90-100%,100%,E3 | W3 | W5 | W6 | W8 ,12,5,,
INTRAVENOUS SOLUTION COMPOUNDER,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
INVIVO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IOL CONSULTANT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
IOL MASTER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ION,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
IOR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
IPA,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
IPFG MSI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
IPLEDGE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IPM,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
IPRN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
IPRO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IPS CONSOLE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
IPTS,Aligned,1,1,90-100%,100%,W10 | W5 | W7 ,12,3,,
IP CAMERA,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
IRBNET,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
IRONPORT,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
IRONVIEW,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
IS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ISITE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ISMA,Aligned,1,1,90-100%,100%,E3 | W6 | W7 ,5,3,,
ISTAT CDS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ITAM,Aligned,1,1,90-100%,100%,E3 | E4 | M1 | W10 ,4,4,,
ITRM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
IT Svcs,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
IVA PLUS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
IVISS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
IWIMS,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 | W9 ,11,7,,
IZOOM,Aligned,1,1,90-100%,100%,M1 | W5 | W6 ,7,3,,
ImagePro Plus,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
JABBER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
JAMS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
JANUS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
JAVA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
JAWS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
JDES-IT,Aligned,2,2,90-100%,100%,E3 | E4 | W8 | W9 ,2,4,,
JETADMIN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
JHASIR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
JMAR,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
JMP,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
JMPT,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,7,14,,
JOHNSON CONTROLS,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
JOMIS,Aligned,40,48,80-90%,83%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W7 | W8 | W9 ,5,15,,
JPAS,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W10 | W2 | W5 | W6 | W9 ,1,8,,
JPIMS,Aligned,11,17,60-70%,64%,E1 | E2 | E3 | E4 | W1 | W10 | W2 | W3 | W5 | W7 | W8 ,1,11,,
JUNIPER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
JXP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
Juniper,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
KEA!,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
KIWI,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
KM,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
KOKO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
KONAN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
KRP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
KR REFRACTOR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
LABCORP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LABVIEW,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LAB MANAGER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LAPROSCOPIC SIMULATOR,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
LASERFICHE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LASER WELDER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
LATEX SENSITIVITY,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LD2,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LEAD,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LEERS,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
LENSOMETER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
LEXI-COMP,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
LIBRARY,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
LIFENET,Aligned,2,1,90-100%,100%,E3 | E4 | W4 | W5 | W6 | W8 ,8,6,,
LIFETRAK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LIGHTBOX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
LIGHTNING,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LINEAR ACCELERATOR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
LINK PLUS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LISA,Aligned,2,2,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LITHOTRIPTER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
LLIS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LM,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LMSXS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W8 ,19,4,,
LN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LOAD,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LOGGERNET,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
LOGIZAN,Aligned,1,1,90-100%,100%,W10 | W5 | W7 ,12,3,,
LOTUS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LRS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LSC,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LSM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
LSS,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
LTO LIBRARY,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LV,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
LYNX,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
Leica,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
Luminos Agile,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
M3,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
MAC 5500 ECG,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MAGPIX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
MAGVIEW,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
MAGic,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
MAIL,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W1 | W2 | W3 | W5 | W6 | W8 | W9 ,7,10,,
MAMMOGAPHY DEVICE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
MAMMOGRAPHY DEVICE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
MAMMOGRAPHY SW,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
MANOSCAN MANOMETER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MAPCHECK2,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MARCO CONNECT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MARPLOT,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
MARS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MASCOT,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
MASS NOTIFICATION,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
MASTERSCREEN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MASTER II,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MATHCAD,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MATHTYPE,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
MATLAB,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
MAXIMO,Aligned,1,1,90-100%,100%,E3 | E4 | M1 | W10 ,4,4,,
MAX Fed,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
MC4,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
MCAFEE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
MCARE,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
MCDB,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
MCMI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
MCSITOS,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
MDC,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
ME,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
MEBITT,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
MEDB,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
MEDBOLTS,Aligned,1,1,90-100%,100%,E4 ,2,1,,
MEDCIN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
MEDIC,Aligned,1,1,90-100%,100%,E4 | W8 ,8,2,,
MEDICALL,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 | W9 ,11,7,,
