System,Capability
TMIP-J-Inc2,Medical Management (Chronic Illnesses)
TMIP-J-Inc2,Medical Materiel
TMIP-J-Inc2,Blood
TMIP-J-Inc2,Inpatient Diagnostic Services
TMIP-J-Inc2,Routine Ambulatory Care (Medical)
TMIP-J-Inc2,Optimize Health and Fitness of the Deployed Force
TMIP-J-Inc2,Surgery (Inpatient)
TMIP-J-Inc2,Provide Health Risk Evaluation (Characterization)
TMIP-J-Inc2,Theater Hospitalization
TMIP-J-Inc2,Disability Counseling and Coaching
TMIP-J-Inc2,Emergency Healthcare Services
TMIP-J-Inc2,Medical Logistics Management
TMIP-J-Inc2,First Responder Care
TMIP-J-Inc2,Ambulatory Diagnostic Services (Medical)
TMIP-J-Inc2,Provide Health Risk Assessment
TMIP-J-Inc2,Pharmacy Services
TMIP-J-Inc2,Surgery (Ambulatory)
TMIP-J INC 2,Medical Information Management
TMMCA,Manning
TMTL,Core and Specialty Medical Education and Training Programs
TM STIMULUS,Mental Healthcare
TOAD,Enterprise Application Software
TOBACCO CESATION,CLINICAL PREVENTIVE MEDICINE
TOF 5800,Medical Research and Development
TOL,Provide Health-Related Education
TOL,User Access (Portal)
TOL,Enterprise Messaging
TOL,Establish Measures of Performance
TOL,Protect Against Disclosure or Modification of Data
TOL,Assure Access
TOL,Content Discovery
TOL,Information Sharing
TOL,Establish Measures of Effectiveness
TOL,Preventive Medical Services
TOL,Analyze Events
TOL,Content Delivery
TOL,Portal Services
TOMOGRAPHY,Specialty Care
TONOMETER,Specialty Care
TOPAZ ELECTRONIC,Enterprise Application Software
TOPCON,Specialty Care
TOTGUARD,Patient Safety
TOXMSTR,Medical Research and Development
TPFIMS,End User Services
TPOC,Personnel Accountability
TRAC2ES,Aeromedical Evacuation (AE)
TRACE,Operational Test and Evaluation
TRACEMASTERVUE,Specialty Care
TRACER,Facilities Support
TRACK-IT,End User Services
TRACS4LIFE,DEFINE THE HEALTH BENEFIT
TRAIN,Staff Development
TRAKPRO,Provide Comprehensive Health Surveillance
TRANSPRC,Manning
TRAVAX,Ambulatory Diagnostic Services (Medical)
TRDVS,Collaboration
TRDVS,Health Quality and Safety
TRDVS,Pharmacy Services
TREADMILL,Specialty Care
TREND,Protect Against Denial or Degradation of Services
TRESA,Utilization Management
TRI-CARB,Occupational Health Services
TRIPWIRE,Defensive Cyber - Internal Defensive Measures
TRITURUS,Laboratory Diagnostic Services
TRMDU,Medical Research and Development
TRS,Training
TRSP,Staff Development
TRUE UP,Communications and Computers
TRUSCAN32,Specialty Care
TS,End User Services
TSI-SP,Mental Healthcare
TSI AIRFLOW,Environmental
TSKR,Assign Roles and Responsibilities
TSVCRC,Specialty Care
TTD,Environmental
TV,Community Support
TWIN,Specialty Care
TWINLOOK,Specialty Care
TeleDermatology,TREATMENT
TelePathology,TREATMENT
Training-Travel,Staff Development
Transcription,DEFINE THE HEALTH BENEFIT
UBS,Occupational Health Services
UCM,Localized Communications
UFT,DODIN Capabilities
UGVS,End User Services
UIMS,Specialty Care
ULTRAEDIT,End User Services
ULTRASOUND,Archive and Retrieve Health-Related Documents and Data
ULTRASOUND DEVICE,Radiology Diagnostic Services
UMS,Enterprise Messaging
UNITY,Medical Equipment Maintenance
UPAS,Contract Development
UPC2,Medical Research and Development
UPDU,Facilities Support
UPS,Facilities Support
UP TO DATE,Pharmacy Services
URINE ANALYZER,Laboratory Diagnostic Services
USSING,Medical Research and Development
USU SIS,Professional Military Education
UTIL,Facilities Support
Ultrasound Device,Radiology Diagnostic Services
Ultrasound Device-Sonultra,Radiology Diagnostic Services
Urine Analyzer,Laboratory Diagnostic Services
Urodynamics Analyzer,Laboratory Diagnostic Services
VAECS,Immunization
VAERS,Patient Safety
VAPOMETER,Medical Research and Development
VARIAN,Specialty Care
VARIANT,Laboratory Diagnostic Services
VARONIS,Content Discovery
VB,Specialty Care
VBRICK,Content Delivery
VCS,Installation Services
VD-HDPC,Primary Care
VECNA,Primary Care
VEEAM,Server Services
VEGAS,Collaboration
VELOCITY,Installation Services
VERILUM,Medical Equipment Maintenance
VERSUS,Manage Supplies and Equipment
VETSCAN,Medical Research and Development
VFTPS,Server Services
VHI,Primary Care
VI,Information Sharing
VIEWLINC,Medical Logistics Services
VIKINGSELECT,Specialty Care
VILS,Continuing Health Education
VIRTUAL IRAQ,Mental Healthcare
VISCOMETER,Medical Research and Development
VISTA TRIMA,Laboratory Diagnostic Services
VITALOGRAPH,Case Management
VITALVIEW,Medical Research and Development
VK2,Specialty Care
VKIOSK,Primary Care
VMR,Provide Military Working Animal Care
VMWARE,Distributed Computing
VNS,Archive and Retrieve Health-Related Documents and Data
VOCERA,Localized Communications
VOIP,Localized Communications
VORTEQ-DVA,Medical Research and Development
VOVICI,Quality Improvement (QI)
VP,Quality Assurance
VPMI,Enterprise Application Software
VPS,Server Services
VREIP,Provide Comprehensive Health Surveillance
VS,Distributed Computing
VSIMS,Provide Public Health Sanitation  Control of Disease Vectors  and OHT
VSIMS,Readiness Reporting
VSIMS,Provide Health Risk Assessment
VSIMS,Credentialing and Privileging
VSIMS,Provide Comprehensive Health Surveillance
VSIMS,Provide Military Working Animal Care
VSIMS,Provide Food Safety and Inspections
VSIMS,Information Management
VSS,Installation Services
VSSM,Anticipate and Predict Health Threats
VSSM,Medical Management (Chronic Illnesses)
VSSM,Develop and Manage Defense Health Program (DHP)
VSSM,Intensive Care
VSSM,Assess Achievement of Objectives
VSSM,Provide Health Risk Assessment
VSSM,Health Information Performance Assessment
VSSM,Laboratory Diagnostic Services
VSSM,Manage Pay for Performance and Prospective Payment Programs
VSSM,Physical Rehabilitation
VSSM,Surgery (Ambulatory)
VSSM,Provide Military Working Animal Care
VSSM,Burn Care
VSSM,Archive and Retrieve Health-Related Documents and Data
VSSM,Diagnostic Radiology Services
VSSM,Manage Warfighter Performance
VSSM,Assess Effects
VSSM,Surgery (Inpatient)
VSSM,Inpatient Non-Surgical Treatment
VSSM,Pharmacy Services
VSSM,Health Information Technology Requirements and Development
VSSM,Program - Budget and Performance
VSSM,Accounting and Finance
VSSM,Amputee Care
VSSM,Manage DHP Military Personnel (MilPers) by End Strength
VSSM,Manage the Medicare Eligible Retiree Healthcare Fund
VSSM,Emergency Healthcare Services
VSSM,Provide Comprehensive Health Surveillance
VSSM,Inpatient Diagnostic Services
VStu,Server Services
VTA,Beneficiary Services
VTC,Collaboration
VTS-3,Specialty Care
VVS,Server Services
VWORKS,Personnel Accountability
VYOPTA VANALYTICS,Collaboration
VaDoH,Medical Information Management
Visiopharm,Medical Research and Development
Visual Field PLOTTER,Specialty Care
W-J III,Mental Healthcare
WACOMTABLET,End User Services
WAIS-WMS,Mental Healthcare
WAM,Medical Research and Development
WAS XPV,End User Services
WAVEFRONT,Specialty Care
WAVEREADER,Installation Services
WAWF,Monitoring
WCST,Mental Healthcare
WEBEOC,Installation Services
WEBLOGIC,End User Services
WEBSITE,Portal Services
WEBVAX,Medical Materiel
WEB AEFSS,Enterprise Application Software
WEB INSPECT,Protect Against Denial or Degradation of Services
WEB PARTS,Content Delivery
WELCH ALLYN,Specialty Care
WESTCALL,Primary Care
WHONET,Laboratory Diagnostic Services
WIAT-III,Mental Healthcare
WIC PIMS,Community Support
WIC PIMS,Provide Health-Related Education
WII,Community Support
WINCARDID,Assure Access
WINDSX,Installation Services
WINSCP,Content Delivery
WINSQL,Core Enterprise Services
WINS Service,Server Services
WINWEDGE,Information Sharing
WINZIP,End User Services
WIN AUTOMATION,End User Services
WIRESHARK,Defensive Cyber - Internal Defensive Measures
WISC-IV,Mental Healthcare
WISPR,Archive and Retrieve Health-Related Documents and Data
WLAN,Beyond Line of Sight
WLIB MDS,Inventory Management
WMATS,Medical Research and Development
WMIS,Develop and Manage Defense Health Program
WMSNi,Assess Available Capabilities
WMSNi,Utilization Management
WMSNi,Staff Development
WNEST,Net Management
WOLFSENSE,Medical Equipment and Technology
WORLDCAT,Continuing Health Education
WPD,Provide for Non-Medical Countermeasures
WPIC5,Operational Test and Evaluation
WPPSI-III,Mental Healthcare
WRAT4,Specialty Care
WRMT-II,Ambulatory Diagnostic Services (Medical)
WS,Portal Services
WSFH,Quality Improvement (QI)
WSS,Primary Care
WSUS,Server Services
WS FTP,Server Services
WT,Optimize Health and Fitness of the Non-deployed Force
WTU,DEFINE THE HEALTH BENEFIT
WUG,Network Resource Visibility
WWN,Portal Services
WWR,Utilization Management
WYPC,Develop and Manage Defense Health Program
Web SUAT,Screening
Wheel,Medical Research and Development
WinDX,Specialty Care
WinEBC,Beneficiary Services
X-RAY DEVICE,Radiology Diagnostic Services
X-Ray Device,Radiology Diagnostic Services
X-Ray Processor,Radiology Diagnostic Services
X-SCRIBE,Specialty Care
X1,End User Services
XACTA,Net Management
XENAPP,Distributed Computing
XENDESKTOP,End User Services
XIAM,Protect Against Network Infiltration
XLTECH,Specialty Care
XPER,Specialty Care
XTRA,Portal Services
XYBN,Provide Comprehensive Health Surveillance
XYLOC,End User Services
Xigma Track,Medical Research and Development
ZENMAP,Operational Test and Evaluation
Zebra Lab,Medical Research and Development
aLOD,Disability Evaluation
e2569,Beneficiary Services
eBRAP,Portfolio Management
eBRAP,Protect Against Disclosure or Modification of Data
eBRAP,Medical Research and Development
eBRAP,Program - Budget and Performance
eBRAP,Strategy Development
eBRAP,Assess Guidance
eBRAP,User Access (Portal)
eBRAP,Monitor Execution  Assess Effects and Adapt Operations
eBRAP,Develop Objectives
eConsults,Primary Care
eDQ,Provide Comprehensive Health Surveillance
eLIMS,Provide Comprehensive Health Surveillance
eLIMS,Archive and Retrieve Health-Related Documents and Data
eLIMS,Integration (AP)
eLIMS,Public Health Laboratory (PHL) Services
eLIMS,Assess Available Capabilities
eMEB,Medical Support to Disability Evaluation
eRoom,Collaboration
iEHR,Archive and Retrieve Health-Related Documents and Data
iEHR,Distill Information
iEHR,Health Information Technology Requirements and Development
iEHR,Audits
iEHR,Compile Information
iEHR,Integration (AP)
iEHR,Disseminate Information
iEHR,Operational Test and Evaluation
iHRF,Medical Research and Development
iHRF,Collaboration
iHRF,Medical Information Management
iHRF,Content Delivery
iHRF,Enterprise Messaging
iHRF,Content Discovery
iM3,Provide Military Working Animal Care
mJAD,Directory Services
oRTIgo,Medical Equipment Maintenance
vSPHERE,Distributed Computing
xCELLigence,Medical Research and Development
